Time (s),Channel 1 (VDC)
2026-08-12 19:24:00,0.158122
2026-08-12 19:25:00,0.158058
2026-08-12 19:26:00,0.157963
2026-08-12 19:27:00,0.157840
2026-08-12 19:28:00,0.157691
2026-08-12 19:29:00,0.157534
2026-08-12 19:30:00,0.157417
2026-08-12 19:31:00,0.157224
2026-08-12 19:32:00,0.157001
2026-08-12 19:33:00,0.156805
2026-08-12 19:34:00,0.156592
2026-08-12 19:35:00,0.156385
2026-08-12 19:36:00,0.156103
2026-08-12 19:37:00,0.155883
2026-08-12 19:38:00,0.155602
2026-08-12 19:39:00,0.155297
2026-08-12 19:40:00,0.155045
2026-08-12 19:41:00,0.154793
2026-08-12 19:42:00,0.154480
2026-08-12 19:43:00,0.154142
2026-08-12 19:44:00,0.153905
